"CD_GEOCODM","LONG","LAT","ALT"
"1701309",-48.5234301922917,-7.1643492714437,302.735223
"1701903",-49.5618126396073,-8.80180254411115,156
"1702000",-49.8286124432782,-12.9255837118616,315.167807
"1702109",-48.2087052518558,-7.19132893965496,235.277019
"1702158",-48.6437495469431,-6.58224942002919,139.451152
"1702208",-48.1235073430294,-5.65058647299995,116.261365
"1702307",-49.0756373852721,-7.65256973541903,209.446061
"1702406",-46.9461070585534,-12.9344198592593,722.402051
"1702554",-47.8809567910047,-5.46541429589652,147.772414
"1702703",-46.4070829808607,-12.7084898610615,481.000844
"1702901",-47.7741560325221,-5.62430906592745,217.832215
"1703008",-47.7588161270324,-7.20186453206148,161.381782
"1703057",-48.5783806048644,-7.76485914125333,290.992965
"1703073",-47.6871349692244,-7.69176659865687,163.374048
"1703107",-48.7314605907218,-9.83165336453343,346.969179
"1703206",-48.8990543467276,-7.86851248331281,163.731013
"1703305",-48.1663804935405,-8.96334801285521,188.018168
"1703602",-48.485374419124,-8.38488935107799,217.736921
"1703701",-48.5586602281507,-11.0108050561865,222.777925
"1703800",-48.223250128075,-5.31353885638917,155.460741
"1703826",-47.914197778559,-6.11324164650466,200.41262
"1703842",-46.8019743467067,-7.97168139413731,297.387732
"1703867",-49.1710407289889,-11.8889974638744,291.100357
"1703883",-48.3959599306274,-7.03147877786106,300.44747
"1703891",-48.0306334265692,-5.32266135485805,116.001105
"1703909",-49.9486922677787,-9.26740621890348,175.792959
"1704105",-47.3383985145873,-8.9584636390938,311.053772
"1704600",-49.1831078580314,-10.1419885833334,273.822331
"1705102",-47.7539048918565,-11.6242678313621,354.776647
"1705508",-48.4815945437489,-8.05462467549995,233.502707
"1705557",-46.5520723402661,-12.8186076720311,428.169059
"1705607",-47.292868810807,-12.2172777669654,408.838513
"1706001",-49.176571570853,-8.35511836963524,194.727349
"1706100",-49.1863002912612,-10.5907246371177,274.339322
"1706258",-48.9155138256477,-11.1042742936043,239.512231
"1706506",-47.7521611102799,-6.71235100148176,287.169246
"1707009",-46.8204090669435,-11.625231878065,689.26917
"1707108",-49.2054131873503,-9.79530114022946,262.828215
"1707207",-49.0673386442723,-9.26129670979711,256.687621
"1707306",-49.2658759161628,-11.3412854167798,232.096256
"1707405",-48.5441476004124,-5.36660805940451,99.868761
"1707553",-48.8989826586808,-10.7525087280848,329.776316
"1707652",-49.1738467307434,-12.1367799832225,294.467697
"1707702",-47.484964141532,-7.3376119059308,157.963023
"1708205",-49.5268603629125,-11.8051419686495,268.534548
"1708254",-48.5174264210488,-9.05896530114982,225.868742
"1708304",-48.9368901923611,-8.77052080482939,262.436486
"1709005",-47.3154354891583,-7.7091723901957,188.053175
"1709302",-48.5086406064702,-8.83616565750443,257.325051
"1709500",-49.0714774689303,-11.72977232286,300.351357
"1709807",-48.4519262288947,-11.2462886215917,226.594554
"1710508",-47.768112402678,-8.39098055231856,196.480857
"1710706",-47.4799359489833,-5.77538508840222,156.704499
"1710904",-48.1111996094691,-8.38432959344297,179.519091
"1711100",-48.6932637032248,-8.56882861156054,339.248352
"1711506",-48.5946082927248,-12.6529263692706,350.583423
"1711803",-49.0986431854272,-8.11742396760678,200.295256
"1711902",-49.620085339146,-10.7886955575897,188.205395
"1711951",-47.5614466302738,-10.2968866969998,315.985955
"1712009",-48.3585039506901,-9.74468243573559,195.580364
"1712157",-46.5066757157435,-12.7916587876518,403.02284
"1712405",-46.6751654558461,-9.59457028780967,415.984801
"1712454",-47.856828041414,-6.19398966023577,201.753297
"1712504",-49.6510339944378,-9.79888035935058,198.482168
"1712702",-46.412465743092,-10.5444288460778,520.974283
"1712801",-47.5048799601751,-5.95256642121045,151.011032
"1713205",-48.3879913115193,-9.56834607764652,190.429632
"1713304",-48.5926319369139,-9.51740473109312,225.601835
"1713601",-48.1104200299112,-10.7635421946238,305.379892
"1713700",-48.9908906033935,-10.005591431794,295.556787
"1713809",-47.5586835262825,-6.61186233456171,176.07136
"1713957",-48.6067452770067,-7.13851928516033,182.756984
"1714203",-47.7272575338232,-11.7053573825042,335.696204
"1714302",-47.6669771825263,-6.37255796928561,210.04848
"1714880",-48.4248067900164,-7.6333149106925,252.491259
"1715002",-48.9061807245023,-10.5668711393323,262.599744
